name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
U_CU_79,underground,cu,cu,,,79,79,0.241,0.241,0.1057809122,0.1057809122,0.0000304371,0.0000304371,295,295
U_CU_80,underground,cu,cu,,,80,80,0.238,0.238,0.1055745142,0.1055745142,0.000030507,0.000030507,298,298
U_CU_90,underground,cu,cu,,,90,90,0.208,0.208,0.1036719918,0.1036719918,0.0000311668,0.0000311668,319,319
U_CU_93,underground,cu,cu,,,93,93,0.199,0.199,0.1031520348,0.1031520348,0.0000313521,0.0000313521,326,326
U_CU_95,underground,cu,cu,,,95,95,0.193,0.193,0.1028168921,0.1028168921,0.0000314727,0.0000314727,330,330
U_CU_100,underground,cu,cu,,,100,100,0.185,0.185,0.1020162744,0.1020162744,0.0000317647,0.0000317647,339,339
U_CU_116,underground,cu,cu,,,116,116,0.1594,0.1594,0.0997578116,0.0997578116,0.0000326182,0.0000326182,368,368
U_CU_117,underground,cu,cu,,,117,117,0.1578,0.1578,0.0996298374,0.0996298374,0.000032668,0.000032668,370,370
U_CU_120,underground,cu,cu,,,120,120,0.153,0.153,0.0992540572,0.0992540572,0.0000328149,0.0000328149,375,375
U_CU_147,underground,cu,cu,,,147,147,0.1269,0.1269,0.0963323591,0.0963323591,0.0000340041,0.0000340041,416,416
U_CU_148,underground,cu,cu,,,148,148,0.1259333333,0.1259333333,0.0962375209,0.0962375209,0.0000340441,0.0000340441,417,417
U_CU_150,underground,cu,cu,,,150,150,0.124,0.124,0.0960502777,0.0960502777,0.0000341234,0.0000341234,420,420
U_CU_228,underground,cu,cu,,,228,228,0.0826272727,0.0826272727,0.0905569282,0.0905569282,0.0000366279,0.0000366279,533,533
U_CU_240,underground,cu,cu,,,240,240,0.0775,0.0775,0.0899296465,0.0899296465,0.0000369374,0.0000369374,549,549
U_CU_288,underground,cu,cu,,,288,288,0.0651,0.0651,0.0877788677,0.0877788677,0.0000380397,0.0000380397,605,605
U_AM_19,underground,am,am,,,19,19,1.9444133333,1.9444133333,0.1330544178,0.1330544178,0.0000233629,0.0000233629,107,107
U_AM_20,underground,am,am,,,20,20,1.8527444444,1.8527444444,0.1319453158,0.1319453158,0.0000235859,0.0000235859,110,110
U_AM_22,underground,am,am,,,22,22,1.6694066667,1.6694066667,0.1299081697,0.1299081697,0.0000240066,0.0000240066,116,116
U_AM_25,underground,am,am,,,25,25,1.3944,1.3944,0.1272251024,0.1272251024,0.0000245842,0.0000245842,125,125
U_AM_28,underground,am,am,,,28,28,1.2786648,1.2786648,0.124894529,0.124894529,0.0000251089,0.0000251089,132,132
U_AM_29,underground,am,am,,,29,29,1.2400864,1.2400864,0.1241821772,0.1241821772,0.0000252738,0.0000252738,135,135
U_AM_33,underground,am,am,,,33,33,1.0857728,1.0857728,0.1215975746,0.1215975746,0.0000258907,0.0000258907,144,144
U_AM_34,underground,am,am,,,34,34,1.0471944,1.0471944,0.1210090932,0.1210090932,0.0000260354,0.0000260354,147,147
U_AM_37,underground,am,am,,,37,37,0.9734461333,0.9734461333,0.119360076,0.119360076,0.0000264496,0.0000264496,152,152
U_AM_38,underground,am,am,,,38,38,0.9558612,0.9558612,0.1188454977,0.1188454977,0.0000265816,0.0000265816,154,154
U_AM_40,underground,am,am,,,40,40,0.9206913333,0.9206913333,0.1178632261,0.1178632261,0.0000268372,0.0000268372,158,158
U_AM_43,underground,am,am,,,43,43,0.8679365333,0.8679365333,0.116495047,0.116495047,0.0000272015,0.0000272015,163,163
U_AM_48,underground,am,am,,,48,48,0.7800118667,0.7800118667,0.1144519385,0.1144519385,0.0000277643,0.0000277643,172,172
U_AM_50,underground,am,am,,,50,50,0.744842,0.744842,0.113705448,0.113705448,0.0000279758,0.0000279758,175,175
U_AM_54,underground,am,am,,,54,54,0.6988268,0.6988268,0.112315465,0.112315465,0.0000283783,0.0000283783,183,183
U_AM_55,underground,am,am,,,55,55,0.687323,0.687323,0.1119874251,0.1119874251,0.000028475,0.000028475,185,185
